epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.623,2.04743,3.84875,1.34118,0.02013,0.38732,0.05106,0.02646,1.65432,3.51506,1.15057,0.000219369,0.000219369,0.000219369
2,266.464,1.76185,2.5161,1.15443,0.2522,0.09124,0.10915,0.05682,1.65098,2.64564,1.14077,0.000437329,0.000437329,0.000437329
3,449.256,1.66823,2.1222,1.15843,0.23977,0.12847,0.09945,0.05641,1.5851,1.8519,1.1591,0.000650888,0.000650888,0.000650888
4,667.365,1.64221,1.91511,1.16412,0.34446,0.09822,0.09377,0.05371,1.55036,1.85962,1.15561,0.00064719,0.00064719,0.00064719
5,894.544,1.57967,1.72256,1.15982,0.4169,0.15861,0.14539,0.08839,1.47924,1.5135,1.09772,0.000640587,0.000640587,0.000640587
6,1114.93,1.56719,1.62868,1.13724,0.47714,0.12229,0.1228,0.07659,1.4693,1.34104,1.11233,0.000633983,0.000633983,0.000633983
7,1399.19,1.55628,1.5373,1.14835,0.51296,0.12862,0.12843,0.08083,1.39998,1.28323,1.09046,0.00062738,0.00062738,0.00062738
8,1686.86,1.51766,1.46105,1.13412,0.51484,0.10952,0.11445,0.07271,1.40544,1.2239,1.09618,0.000620777,0.000620777,0.000620777
9,1930.98,1.50207,1.4138,1.1193,0.56972,0.10263,0.11422,0.07314,1.42428,1.15212,1.09663,0.000614174,0.000614174,0.000614174
10,2196.72,1.473,1.33944,1.10083,0.57073,0.10499,0.11479,0.07177,1.43847,1.12473,1.11534,0.00060757,0.00060757,0.00060757
11,2455.27,1.474,1.29248,1.10717,0.67759,0.11293,0.1322,0.08537,1.4002,1.06902,1.08814,0.000600967,0.000600967,0.000600967
12,2685.68,1.45348,1.27377,1.11609,0.63294,0.11265,0.13004,0.08352,1.35169,1.05405,1.08576,0.000594364,0.000594364,0.000594364
13,2930.98,1.45751,1.25717,1.1035,0.61471,0.10606,0.1266,0.0803,1.40374,1.06538,1.10214,0.00058776,0.00058776,0.00058776
14,3179.37,1.44654,1.2268,1.09932,0.6217,0.13827,0.16013,0.10353,1.35832,0.987,1.07451,0.000581157,0.000581157,0.000581157
15,3440.7,1.45697,1.22127,1.11116,0.6868,0.11859,0.14335,0.09472,1.35826,0.95915,1.0796,0.000574554,0.000574554,0.000574554
16,3689.08,1.41345,1.16993,1.09083,0.71804,0.13151,0.16078,0.10078,1.38023,0.97053,1.09131,0.00056795,0.00056795,0.00056795
17,3937.65,1.40873,1.1418,1.08429,0.70898,0.13997,0.16175,0.10516,1.34294,0.94289,1.0769,0.000561347,0.000561347,0.000561347
18,4178.27,1.41333,1.14378,1.09612,0.73099,0.14957,0.17899,0.11495,1.33611,0.91316,1.0736,0.000554744,0.000554744,0.000554744
19,4413.73,1.42132,1.122,1.08958,0.75693,0.17317,0.20595,0.13462,1.33169,0.91198,1.05932,0.000548141,0.000548141,0.000548141
20,4700.19,1.38019,1.07216,1.07699,0.69181,0.13656,0.168,0.1115,1.29251,0.87819,1.04962,0.000541537,0.000541537,0.000541537
21,4986.02,1.38531,1.09823,1.08967,0.70646,0.14922,0.17354,0.10966,1.35461,0.89621,1.07945,0.000534934,0.000534934,0.000534934
22,5297.39,1.39561,1.09584,1.0895,0.80384,0.19829,0.22307,0.14518,1.31081,0.8859,1.06266,0.000528331,0.000528331,0.000528331
23,5583.95,1.37927,1.06597,1.07814,0.81534,0.15634,0.1929,0.12051,1.31186,0.8622,1.05584,0.000521727,0.000521727,0.000521727
24,5855,1.37501,1.03516,1.0719,0.78446,0.16164,0.19681,0.12925,1.29926,0.823,1.05585,0.000515124,0.000515124,0.000515124
25,6164.93,1.37596,1.05418,1.0832,0.7618,0.1633,0.19883,0.12686,1.34371,0.85811,1.07397,0.000508521,0.000508521,0.000508521
26,6450.97,1.36382,1.04082,1.07923,0.82074,0.24204,0.27938,0.1783,1.31734,0.83174,1.06313,0.000501917,0.000501917,0.000501917
27,6705.37,1.37505,1.0321,1.0697,0.77991,0.19034,0.2244,0.14401,1.29527,0.8148,1.0472,0.000495314,0.000495314,0.000495314
28,6980.82,1.3464,0.97987,1.06484,0.82661,0.16983,0.21045,0.14105,1.2995,0.81096,1.05528,0.000488711,0.000488711,0.000488711
29,7232.2,1.34351,0.99711,1.06235,0.76622,0.22689,0.26421,0.16884,1.30146,0.81122,1.05486,0.000482108,0.000482108,0.000482108
30,7535.89,1.3432,0.98474,1.05676,0.82657,0.264,0.29544,0.19133,1.27705,0.79486,1.05187,0.000475504,0.000475504,0.000475504
31,7839.62,1.33597,0.98149,1.06833,0.86055,0.32646,0.36838,0.23844,1.27284,0.77634,1.04636,0.000468901,0.000468901,0.000468901
32,8160.17,1.35048,0.97285,1.06317,0.85683,0.4347,0.47532,0.30745,1.28484,0.76997,1.05193,0.000462298,0.000462298,0.000462298
33,8476.23,1.32207,0.96206,1.06139,0.85781,0.32482,0.36584,0.23277,1.28666,0.77159,1.05259,0.000455694,0.000455694,0.000455694
34,8762.23,1.3168,0.93053,1.05656,0.86179,0.46604,0.51288,0.32301,1.26608,0.74578,1.04114,0.000449091,0.000449091,0.000449091
35,9043.96,1.31213,0.93394,1.05638,0.89781,0.44125,0.48392,0.30474,1.30014,0.7749,1.05616,0.000442488,0.000442488,0.000442488
36,9298.22,1.32403,0.93313,1.05627,0.89661,0.34683,0.39417,0.25709,1.27553,0.73596,1.04685,0.000435884,0.000435884,0.000435884
37,9585.91,1.31925,0.92285,1.06091,0.87798,0.54518,0.59409,0.37559,1.29133,0.75577,1.05106,0.000429281,0.000429281,0.000429281
38,9862.73,1.30346,0.91183,1.04982,0.89936,0.57114,0.62064,0.4016,1.2824,0.73396,1.04471,0.000422678,0.000422678,0.000422678
39,10137.8,1.30381,0.90209,1.04161,0.84993,0.48879,0.52772,0.33958,1.26627,0.71596,1.04512,0.000416075,0.000416075,0.000416075
40,10402.8,1.29357,0.89437,1.04823,0.90789,0.54565,0.59287,0.3766,1.28298,0.72211,1.04917,0.000409471,0.000409471,0.000409471
41,10692.7,1.28994,0.88914,1.04967,0.88596,0.42202,0.47084,0.30709,1.27729,0.70637,1.03892,0.000402868,0.000402868,0.000402868
42,10998.1,1.27176,0.88317,1.04498,0.89833,0.56019,0.60545,0.38903,1.26128,0.70581,1.04749,0.000396265,0.000396265,0.000396265
43,11269.6,1.29266,0.87625,1.04844,0.90969,0.60529,0.65432,0.42771,1.25078,0.70338,1.03644,0.000389661,0.000389661,0.000389661
44,11520,1.2808,0.88245,1.04473,0.92438,0.53546,0.5944,0.38929,1.25338,0.69402,1.041,0.000383058,0.000383058,0.000383058
45,11807.2,1.26816,0.86915,1.03542,0.89403,0.57695,0.62136,0.3977,1.2764,0.70104,1.05113,0.000376455,0.000376455,0.000376455
46,12078.1,1.28081,0.87085,1.03344,0.92057,0.63024,0.68841,0.44913,1.26745,0.69481,1.04435,0.000369851,0.000369851,0.000369851
47,12338.7,1.27618,0.86746,1.03584,0.91161,0.54911,0.60278,0.39339,1.24619,0.6755,1.03242,0.000363248,0.000363248,0.000363248
48,12622.7,1.25613,0.85046,1.03197,0.91831,0.62287,0.68154,0.44275,1.2632,0.6741,1.03653,0.000356645,0.000356645,0.000356645
49,12907,1.25276,0.84432,1.03641,0.91916,0.57224,0.62263,0.40696,1.2313,0.6648,1.02618,0.000350042,0.000350042,0.000350042
50,13184,1.24613,0.82176,1.02936,0.92372,0.6094,0.66864,0.43856,1.2561,0.6654,1.03326,0.000343438,0.000343438,0.000343438
51,13468.7,1.24181,0.82265,1.02638,0.93757,0.58328,0.63446,0.41776,1.25367,0.66429,1.03956,0.000336835,0.000336835,0.000336835
52,13785.5,1.25247,0.82695,1.03363,0.92368,0.64121,0.69405,0.45577,1.22343,0.66758,1.03202,0.000330232,0.000330232,0.000330232
53,14046,1.24841,0.82453,1.02318,0.92873,0.63511,0.68693,0.46065,1.21704,0.65226,1.02303,0.000323628,0.000323628,0.000323628
54,14332.6,1.21888,0.80289,1.02341,0.92673,0.58509,0.63824,0.4178,1.23272,0.64849,1.03716,0.000317025,0.000317025,0.000317025
55,14637.5,1.23334,0.82005,1.02456,0.93875,0.61844,0.67805,0.44794,1.22168,0.64913,1.03095,0.000310422,0.000310422,0.000310422
56,14926.2,1.23723,0.81851,1.02115,0.91246,0.63393,0.68242,0.4494,1.23965,0.66804,1.02968,0.000303818,0.000303818,0.000303818
57,15198.4,1.22729,0.81016,1.02136,0.9449,0.61825,0.67842,0.44789,1.21061,0.64633,1.01997,0.000297215,0.000297215,0.000297215
58,15475.9,1.20339,0.78776,1.01128,0.94029,0.66778,0.71512,0.47177,1.22825,0.64864,1.02638,0.000290612,0.000290612,0.000290612
59,15764.6,1.22433,0.80151,1.02072,0.92855,0.68669,0.72803,0.4823,1.2163,0.6407,1.02504,0.000284009,0.000284009,0.000284009
60,16038.5,1.21336,0.78428,1.01502,0.92835,0.64951,0.6963,0.46487,1.20626,0.62641,1.02023,0.000277405,0.000277405,0.000277405
61,16298.4,1.2164,0.77997,1.00679,0.93486,0.58625,0.64084,0.41857,1.25209,0.64639,1.02812,0.000270802,0.000270802,0.000270802
62,16605.3,1.22727,0.78719,1.01688,0.94524,0.67668,0.72242,0.47865,1.22309,0.63401,1.02613,0.000264199,0.000264199,0.000264199
63,16890.3,1.20469,0.77791,1.01318,0.93532,0.66803,0.71172,0.48376,1.19729,0.62337,1.01154,0.000257595,0.000257595,0.000257595
64,17164.7,1.18789,0.779,1.00796,0.95482,0.67304,0.73112,0.49105,1.18996,0.62487,1.01707,0.000250992,0.000250992,0.000250992
65,17479.5,1.18851,0.76779,1.00511,0.94956,0.64427,0.69071,0.47066,1.19559,0.61136,1.01916,0.000244389,0.000244389,0.000244389
66,17842.3,1.18587,0.76244,1.01415,0.94442,0.63981,0.68913,0.46606,1.20039,0.61837,1.02407,0.000237785,0.000237785,0.000237785
67,18147.7,1.19533,0.77726,1.01186,0.91713,0.57765,0.62617,0.42499,1.18683,0.6169,1.0136,0.000231182,0.000231182,0.000231182
68,18464.1,1.18787,0.75219,1.00902,0.93003,0.57178,0.62285,0.42265,1.20057,0.62927,1.0165,0.000224579,0.000224579,0.000224579
69,18803.9,1.18257,0.75359,1.00823,0.94239,0.62707,0.68045,0.4573,1.19022,0.61436,1.01402,0.000217976,0.000217976,0.000217976
70,19120.8,1.1653,0.75315,1.00317,0.94761,0.58233,0.63605,0.4332,1.18484,0.60669,1.01111,0.000211372,0.000211372,0.000211372
71,19462.6,1.17372,0.75133,1.00404,0.95725,0.66657,0.71922,0.48607,1.17772,0.60508,1.013,0.000204769,0.000204769,0.000204769
72,19789.4,1.1691,0.74592,0.99261,0.93368,0.61736,0.6681,0.4543,1.18017,0.60484,1.01209,0.000198166,0.000198166,0.000198166
73,20109.6,1.1631,0.74598,0.99657,0.95166,0.67925,0.72597,0.49742,1.18069,0.60291,1.01087,0.000191562,0.000191562,0.000191562
74,20451.2,1.15247,0.73947,0.99321,0.93641,0.67367,0.71897,0.49106,1.16641,0.59813,1.00703,0.000184959,0.000184959,0.000184959
75,20804,1.15396,0.73856,0.99721,0.93037,0.62918,0.67893,0.46529,1.18197,0.60829,1.01037,0.000178356,0.000178356,0.000178356
76,21108.6,1.14784,0.72662,0.99711,0.93979,0.65153,0.70064,0.47748,1.16577,0.59415,1.00567,0.000171752,0.000171752,0.000171752
77,21522.3,1.13682,0.71418,0.99348,0.93095,0.63581,0.68188,0.46262,1.18291,0.6021,1.00973,0.000165149,0.000165149,0.000165149
78,21873.8,1.12735,0.71657,0.9948,0.93306,0.63291,0.68631,0.47188,1.16826,0.59952,1.0084,0.000158546,0.000158546,0.000158546
79,22246.8,1.14139,0.72717,0.99099,0.93671,0.58901,0.64053,0.43819,1.17804,0.58728,1.01165,0.000151943,0.000151943,0.000151943
80,22583.9,1.14373,0.72457,0.98823,0.95131,0.70147,0.74474,0.51335,1.16389,0.58129,1.00271,0.000145339,0.000145339,0.000145339
81,22917.6,1.12261,0.72166,0.99024,0.94832,0.65258,0.70306,0.48427,1.16198,0.5836,1.00204,0.000138736,0.000138736,0.000138736
82,23290.7,1.12684,0.7131,0.98888,0.9532,0.62076,0.67261,0.4608,1.17086,0.57776,1.00751,0.000132133,0.000132133,0.000132133
83,23632.1,1.1272,0.71775,0.98562,0.95572,0.61836,0.67075,0.46263,1.15951,0.5739,1.0041,0.000125529,0.000125529,0.000125529
84,24028.1,1.11558,0.69277,0.9827,0.95125,0.59217,0.6477,0.44518,1.15507,0.57743,1.00267,0.000118926,0.000118926,0.000118926
85,24427.7,1.12263,0.70266,0.98287,0.95903,0.65647,0.70911,0.49201,1.14882,0.57351,1.00614,0.000112323,0.000112323,0.000112323
86,24734.7,1.12847,0.71333,0.98535,0.95385,0.65067,0.70071,0.486,1.14753,0.57364,0.99805,0.00010572,0.00010572,0.00010572
87,25086.8,1.11615,0.70849,0.98383,0.95413,0.66065,0.70861,0.493,1.15007,0.56589,0.99998,9.91162e-05,9.91162e-05,9.91162e-05
88,25389.2,1.09982,0.70392,0.97853,0.94981,0.6798,0.72498,0.5043,1.14379,0.56321,0.9997,9.25129e-05,9.25129e-05,9.25129e-05
89,25720.2,1.09744,0.69367,0.9805,0.95476,0.63847,0.68768,0.47495,1.14511,0.56403,0.99682,8.59096e-05,8.59096e-05,8.59096e-05
90,26110.1,1.10825,0.6985,0.97767,0.9603,0.62345,0.67784,0.46812,1.14403,0.5605,0.99957,7.93063e-05,7.93063e-05,7.93063e-05
91,26436.5,1.06835,0.55968,0.97918,0.94633,0.60737,0.6588,0.45165,1.1487,0.56656,1.00253,7.2703e-05,7.2703e-05,7.2703e-05
92,26871.2,1.0544,0.56061,0.97467,0.91914,0.42239,0.48253,0.33623,1.15297,0.56602,1.0001,6.60997e-05,6.60997e-05,6.60997e-05
93,27942.3,1.04536,0.55785,0.97708,0.9383,0.29776,0.36511,0.25691,1.14374,0.56266,0.99608,5.94964e-05,5.94964e-05,5.94964e-05
94,29104.2,1.04378,0.55997,0.97517,0.92731,0.29305,0.35757,0.25185,1.13865,0.56243,0.99594,5.28931e-05,5.28931e-05,5.28931e-05
95,87219.8,1.0368,0.54621,0.96991,0.92872,0.2235,0.29859,0.21271,1.13753,0.55645,0.99495,4.62898e-05,4.62898e-05,4.62898e-05
96,87463,1.03694,0.54753,0.96947,0.95924,0.6301,0.68116,0.47503,1.13688,0.55427,0.99556,3.96865e-05,3.96865e-05,3.96865e-05
97,87621.3,1.03441,0.54737,0.96459,0.95861,0.65762,0.70446,0.49542,1.13403,0.55307,0.99477,3.30832e-05,3.30832e-05,3.30832e-05
98,87784.4,1.02849,0.5326,0.96745,0.95696,0.68487,0.72783,0.5079,1.13032,0.55133,0.99268,2.64799e-05,2.64799e-05,2.64799e-05
99,87982.1,1.02875,0.54297,0.96702,0.95791,0.6125,0.66208,0.46359,1.13126,0.55287,0.99261,1.98766e-05,1.98766e-05,1.98766e-05
100,88190.5,1.02174,0.53388,0.96485,0.95668,0.56297,0.61598,0.42939,1.13055,0.55218,0.99179,1.32733e-05,1.32733e-05,1.32733e-05
